libraryID,taxID,counts,kingdom,phylum,class,order,family,genera,species,EFB_status,Yard
ApisM_MM__10_26_2021_barcode01,1690,2,Bacteria, Actinomycetota, Bifidobacteriales, Actinomycetes, Bifidobacteriaceae, Bifidobacterium, Bifidobacterium pseudolongum,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1825523,5,Bacteria, Pseudomonadota, Nitrosomonadales, Betaproteobacteria, Methylophilaceae, Novimethylophilus, Novimethylophilus kurashikiensis,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,2,589,Bacteria, NA, NA, NA, NA, NA, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,525369,3,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Morganellaceae, Proteus, Proteus mirabilis,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,109790,22,Bacteria, Bacillota, Lactobacillales, Bacilli, Lactobacillaceae, Lactobacillus, Lactobacillus jensenii,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,411481,4,Bacteria, Actinomycetota, Bifidobacteriales, Actinomycetes, Bifidobacteriaceae, Bifidobacterium, Bifidobacterium adolescentis,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1350466,7,Bacteria, Bacillota, Lactobacillales, Bacilli, Lactobacillaceae, Lactiplantibacillus, Lactiplantibacillus plantarum,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,22,1,Bacteria, Pseudomonadota, Alteromonadales, Gammaproteobacteria, Shewanellaceae, Shewanella, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1834172,1,Bacteria, Bacillota, Lactobacillales, Bacilli, Enterococcaceae, Enterococcus, Enterococcus sp. 2F9_DIV0599,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,615,59,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Yersiniaceae, Serratia, Serratia marcescens,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,192,1,Bacteria, Pseudomonadota, Rhodospirillales, Alphaproteobacteria, Azospirillaceae, Azospirillum, Azospirillum brasilense,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1351754,60,Bacteria, Pseudomonadota, Pasteurellales, Gammaproteobacteria, Pasteurellaceae, Avibacterium, Avibacterium paragallinarum,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1151225,7,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, Escherichia, Escherichia coli,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,166486,1,Bacteria, Bacillota, Eubacteriales, Clostridia, Lachnospiraceae, Roseburia, Roseburia intestinalis,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,197,1,Bacteria, Campylobacterota, Campylobacterales, Epsilonproteobacteria, Campylobacteraceae, Campylobacter, Campylobacter jejuni,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,2132,28,Bacteria, Mycoplasmatota, Entomoplasmatales, Mollicutes, Spiroplasmataceae, Spiroplasma, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,628,1,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Morganellaceae, Xenorhabdus, Xenorhabdus nematophila,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1852815,1,Bacteria, Bacteroidota, NA, NA, NA, NA, Bacteroidetes bacterium ADurb.BinA012,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,629,9,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Yersiniaceae, Yersinia, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,51366,3,Bacteria, Pseudomonadota, Vibrionales, Gammaproteobacteria, Vibrionaceae, Salinivibrio, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,222,5,Bacteria, Pseudomonadota, Burkholderiales, Betaproteobacteria, Alcaligenaceae, Achromobacter, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,2497945,1,Bacteria, Pseudomonadota, Rhodobacterales, Alphaproteobacteria, Roseobacteraceae, Shimia, Shimia sediminis,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,2134,16,Bacteria, Mycoplasmatota, Entomoplasmatales, Mollicutes, Spiroplasmataceae, Spiroplasma, Spiroplasma melliferum,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1388004,2,Bacteria, Bacillota, Bacillales, Bacilli, Staphylococcaceae, Staphylococcus, Staphylococcus aureus,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,632,1,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Yersiniaceae, Yersinia, Yersinia pestis,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1177712,1,Bacteria, Pseudomonadota, Rhodospirillales, Alphaproteobacteria, Acetobacteraceae, Komagataeibacter, Komagataeibacter medellinensis,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,2137,49,Bacteria, Mycoplasmatota, Entomoplasmatales, Mollicutes, Spiroplasmataceae, Spiroplasma, Spiroplasma apis,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,2685620,4,Bacteria, Pseudomonadota, Orbales, Gammaproteobacteria, Orbaceae, Gilliamella, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,418750,102,Bacteria, Pseudomonadota, Oceanospirillales, Gammaproteobacteria, Saccharospirillaceae, Saccharospirillum, Saccharospirillum salsuginis,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,106589,1,Bacteria, Pseudomonadota, Burkholderiales, Betaproteobacteria, Burkholderiaceae, Cupriavidus, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1867952,1,Bacteria, Pseudomonadota, Rhodospirillales, Alphaproteobacteria, Terasakiellaceae, Terasakiella, Candidatus Terasakiella magnetica,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,286,46,Bacteria, Pseudomonadota, Pseudomonadales, Gammaproteobacteria, Pseudomonadaceae, Pseudomonas, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,2817997,44,Bacteria, Pseudomonadota, Orbales, Gammaproteobacteria, Orbaceae, Gilliamella, Gilliamella sp. B3801,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,2818035,1,Bacteria, Bacillota, Lactobacillales, Bacilli, Lactobacillaceae, Lactobacillus, Lactobacillus sp. B4026,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,91891,1,Bacteria, Pseudomonadota, Legionellales, Gammaproteobacteria, Legionellaceae, Legionella, Legionella pneumophila,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,666,61,Bacteria, Pseudomonadota, Vibrionales, Gammaproteobacteria, Vibrionaceae, Vibrio, Vibrio cholerae,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,33958,35,Bacteria, Bacillota, Lactobacillales, Bacilli, Lactobacillaceae, NA, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1069536,1,Bacteria, Bacillota, Bacillales, Bacilli, Sporolactobacillaceae, Sporolactobacillus, Sporolactobacillus inulinus,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,28450,1,Bacteria, Pseudomonadota, Burkholderiales, Betaproteobacteria, Burkholderiaceae, Burkholderia, Burkholderia pseudomallei,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,31953,1,Bacteria, Actinomycetota, Bifidobacteriales, Actinomycetes, Bifidobacteriaceae, NA, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1898103,2,Bacteria, Pseudomonadota, Rhodocyclales, Betaproteobacteria, Rhodocyclaceae, NA, Rhodocyclaceae bacterium,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1400142,2,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, Klebsiella, Klebsiella aerogenes,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,31969,3,Bacteria, Mycoplasmatota, NA, Mollicutes, NA, NA, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,32008,6,Bacteria, Pseudomonadota, Burkholderiales, Betaproteobacteria, Burkholderiaceae, Burkholderia, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,434,4,Bacteria, Pseudomonadota, Rhodospirillales, Alphaproteobacteria, Acetobacteraceae, Acetobacter, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1499392,5,Bacteria, Pseudomonadota, Neisseriales, Betaproteobacteria, Chromobacteriaceae, NA, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,428125,6,Bacteria, Bacillota, Eubacteriales, Clostridia, Oscillospiraceae, NA, [Clostridium] leptum,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1400521,1,Bacteria, Bacillota, Lactobacillales, Bacilli, Enterococcaceae, Enterococcus, Enterococcus faecalis,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1116106,1,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, Escherichia, Escherichia coli,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,680,31,Bacteria, Pseudomonadota, Vibrionales, Gammaproteobacteria, Vibrionaceae, Vibrio, Vibrio campbellii,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,272629,5,Bacteria, Pseudomonadota, Pasteurellales, Gammaproteobacteria, Pasteurellaceae, Mannheimia, Mannheimia haemolytica,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,2719119,3,Bacteria, Actinomycetota, Mycobacteriales, Actinomycetes, Corynebacteriaceae, Corynebacterium, Corynebacterium rouxii,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,428127,2,Bacteria, Bacillota, Erysipelotrichales, Erysipelotrichia, Erysipelotrichaceae, Amedibacillus, Amedibacillus dolichus,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1402194,3,Bacteria, Actinomycetota, Bifidobacteriales, Actinomycetes, Bifidobacteriaceae, Bifidobacterium, Bifidobacterium animalis,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,441,1,Bacteria, Pseudomonadota, Rhodospirillales, Alphaproteobacteria, Acetobacteraceae, Gluconobacter, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,2547399,10,Bacteria, Pseudomonadota, Burkholderiales, Betaproteobacteria, Burkholderiaceae, Paraburkholderia, Paraburkholderia pallida,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1078030,5,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, Escherichia, Escherichia coli,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,2552946,1,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, Cedecea, Cedecea colo,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1903414,119,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Morganellaceae, NA, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,431944,17,Bacteria, Pseudomonadota, Rhodospirillales, Alphaproteobacteria, Rhodospirillaceae, Magnetospirillum, Magnetospirillum gryphiswaldense,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,445,2,Bacteria, Pseudomonadota, Legionellales, Gammaproteobacteria, Legionellaceae, Legionella, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1986236,1,Bacteria, Rhodothermota, NA, NA, NA, NA, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1987383,4,Bacteria, Bacillota, Lactobacillales, Bacilli, Enterococcaceae, Enterococcus, Enterococcus sp. 10A9_DIV0425,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1413431,31,Bacteria, Bacillota, Bacillales, Bacilli, Staphylococcaceae, Staphylococcus, Staphylococcus aureus,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,446,66,Bacteria, Pseudomonadota, Legionellales, Gammaproteobacteria, Legionellaceae, Legionella, Legionella pneumophila,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,2565925,5,Bacteria, Bacillota, Bacillales, Bacilli, Paenibacillaceae, Cohnella, Cohnella fermenti,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,634994,1,Bacteria, Fusobacteriota, Fusobacteriales, Fusobacteriia, Leptotrichiaceae, Leptotrichia, Leptotrichia hofstadii,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,72407,235,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, Klebsiella, Klebsiella pneumoniae,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,283734,1,Bacteria, Bacillota, Bacillales, Bacilli, Staphylococcaceae, Staphylococcus, Staphylococcus pseudintermedius,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,470,1062,Bacteria, Pseudomonadota, Moraxellales, Gammaproteobacteria, Moraxellaceae, Acinetobacter, Acinetobacter baumannii,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1584,18,Bacteria, Bacillota, Lactobacillales, Bacilli, Lactobacillaceae, Lactobacillus, Lactobacillus delbrueckii,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,481,2,Bacteria, Pseudomonadota, Neisseriales, Betaproteobacteria, Neisseriaceae, NA, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,749539,1,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, Escherichia, Escherichia coli,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,482,116,Bacteria, Pseudomonadota, Neisseriales, Betaproteobacteria, Neisseriaceae, Neisseria, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1091495,50,Bacteria, Pseudomonadota, Burkholderiales, Betaproteobacteria, Alcaligenaceae, Taylorella, Taylorella asinigenitalis,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1914243,1,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, Citrobacter, Citrobacter europaeus,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,762966,2,Bacteria, Pseudomonadota, Burkholderiales, Betaproteobacteria, Sutterellaceae, Parasutterella, Parasutterella excrementihominis,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1915388,1,Bacteria, Pseudomonadota, Burkholderiales, Betaproteobacteria, Alcaligenaceae, Achromobacter, Achromobacter sp. KAs 3-5,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,487,45,Bacteria, Pseudomonadota, Neisseriales, Betaproteobacteria, Neisseriaceae, Neisseria, Neisseria meningitidis,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1597,1,Bacteria, Bacillota, Lactobacillales, Bacilli, Lactobacillaceae, Lacticaseibacillus, Lacticaseibacillus paracasei,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,85569,8,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, Salmonella, Salmonella enterica,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1432555,1,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, Escherichia, Escherichia coli,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,520,1,Bacteria, Pseudomonadota, Burkholderiales, Betaproteobacteria, Alcaligenaceae, Bordetella, Bordetella pertussis,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1548750,1,Bacteria, Bacillota, Bacillales, Bacilli, Bacillaceae, Anoxybacillus, Anoxybacillus sp. BCO1,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,536,1,Bacteria, Pseudomonadota, Neisseriales, Betaproteobacteria, Chromobacteriaceae, Chromobacterium, Chromobacterium violaceum,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1115515,56,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, Pseudescherichia, Pseudescherichia vulneris,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,500640,35,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, Citrobacter, Citrobacter youngae,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1115999,3,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, Escherichia, Escherichia coli,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,290339,19,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, Cronobacter, Cronobacter sakazakii,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,401526,1,Bacteria, Bacillota, Selenomonadales, Negativicutes, Sporomusaceae, Thermosinus, Thermosinus carboxydivorans,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,543,235,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, NA, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1437005,3,Bacteria, Pseudomonadota, Burkholderiales, Betaproteobacteria, Burkholderiaceae, Burkholderia, Burkholderia pseudomallei,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,185978,1,Bacteria, Bacillota, Bacillales, Bacilli, Paenibacillaceae, Paenibacillus, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,586,22,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Morganellaceae, Providencia, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,546,2,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, Citrobacter, Citrobacter freundii,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1236,502,Bacteria, Pseudomonadota, NA, Gammaproteobacteria, NA, NA, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,47715,16,Bacteria, Bacillota, Lactobacillales, Bacilli, Lactobacillaceae, Lacticaseibacillus, Lacticaseibacillus rhamnosus,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,13373,3,Bacteria, Pseudomonadota, Burkholderiales, Betaproteobacteria, Burkholderiaceae, Burkholderia, Burkholderia mallei,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1117322,64,Bacteria, Pseudomonadota, Pasteurellales, Gammaproteobacteria, Pasteurellaceae, Glaesserella, Glaesserella parasuis,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,47770,30,Bacteria, Bacillota, Lactobacillales, Bacilli, Lactobacillaceae, Lactobacillus, Lactobacillus crispatus,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,548,11,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, Klebsiella, Klebsiella aerogenes,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,186802,5,Bacteria, Bacillota, Eubacteriales, Clostridia, NA, NA, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1120929,1,Bacteria, Pseudomonadota, Moraxellales, Gammaproteobacteria, Moraxellaceae, Acinetobacter, Acinetobacter towneri,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,47834,1,Bacteria, Mycoplasmatota, Entomoplasmatales, Mollicutes, Spiroplasmataceae, Spiroplasma, Spiroplasma kunkelii,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,450746,5,Bacteria, Bacillota, Erysipelotrichales, Erysipelotrichia, Coprobacillaceae, Coprobacillus, Coprobacillus sp. 8_1_38FAA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,2620435,1,Bacteria, Bacillota, Lactobacillales, Bacilli, Lactobacillaceae, Lactobacillus, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,553,25,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Erwiniaceae, Pantoea, Pantoea ananatis,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,669260,1,Bacteria, Pseudomonadota, Pasteurellales, Gammaproteobacteria, Pasteurellaceae, Mannheimia, Mannheimia haemolytica,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,186817,1,Bacteria, Bacillota, Bacillales, Bacilli, Bacillaceae, NA, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,520487,18,Bacteria, Pseudomonadota, Hyphomicrobiales, Alphaproteobacteria, Brucellaceae, Brucella, Brucella suis,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1122148,1,Bacteria, Bacillota, Lactobacillales, Bacilli, Lactobacillaceae, Fructilactobacillus, Fructilactobacillus lindneri,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1594731,1,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, Candidatus Westeberhardia, Candidatus Westeberhardia cardiocondylae,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,555,70,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Pectobacteriaceae, Pectobacterium, Pectobacterium carotovorum,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,670905,5,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, Escherichia, Escherichia coli,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1280,15,Bacteria, Bacillota, Bacillales, Bacilli, Staphylococcaceae, Staphylococcus, Staphylococcus aureus,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,561,3,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, Escherichia, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,186826,4,Bacteria, Bacillota, Lactobacillales, Bacilli, NA, NA, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1123227,3,Bacteria, Pseudomonadota, Rhodospirillales, Alphaproteobacteria, Acetobacteraceae, Saccharibacter, Saccharibacter floricola,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1125847,13,Bacteria, Pseudomonadota, Hyphomicrobiales, Alphaproteobacteria, Rhizobiaceae, Pseudorhizobium, Pseudorhizobium banfieldiae,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,2630218,8,Bacteria, Pseudomonadota, Rhodospirillales, Alphaproteobacteria, Acetobacteraceae, Commensalibacter, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,351614,3,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Morganellaceae, Xenorhabdus, Xenorhabdus stockiae,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,299767,1,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, Enterobacter, Enterobacter ludwigii,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,562,793,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, Escherichia, Escherichia coli,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,2637901,1,Bacteria, Mycoplasmatota, Entomoplasmatales, Mollicutes, Spiroplasmataceae, Spiroplasma, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,2639704,1,Bacteria, Bacillota, Bacillales, Bacilli, Bacillaceae, Anoxybacillus, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1301,3,Bacteria, Bacillota, Lactobacillales, Bacilli, Streptococcaceae, Streptococcus, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,570,1,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, Klebsiella, NA,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,411463,1,Bacteria, Bacillota, Eubacteriales, Clostridia, Eubacteriaceae, Eubacterium, Eubacterium ventriosum,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,351676,132,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Morganellaceae, Xenorhabdus, Xenorhabdus kozodoii,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,679196,17,Bacteria, Bacillota, Lactobacillales, Bacilli, Lactobacillaceae, Lactobacillus, Lactobacillus gasseri,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1443103,1,Bacteria, Pseudomonadota, Neisseriales, Betaproteobacteria, Neisseriaceae, Snodgrassella, Snodgrassella alvi,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1131567,2,Bacteria, Pseudomonadota, Burkholderiales, Betaproteobacteria, Oxalobacteraceae, Undibacterium, Undibacterium squillarum,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,525282,1,Bacteria, Bacillota, Tissierellales, Tissierellia, Peptoniphilaceae, Finegoldia, Finegoldia magna,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1311,4,Bacteria, Bacillota, Lactobacillales, Bacilli, Streptococcaceae, Streptococcus, Streptococcus agalactiae,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,573,19,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, Klebsiella, Klebsiella pneumoniae,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1443279,31,Bacteria, Pseudomonadota, Vibrionales, Gammaproteobacteria, Vibrionaceae, Vibrio, Vibrio aestuarianus,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1313,25,Bacteria, Bacillota, Lactobacillales, Bacilli, Streptococcaceae, Streptococcus, Streptococcus pneumoniae,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,2042044,19,Bacteria, Bacillota, Lactobacillales, Bacilli, Lactobacillaceae, Lactobacillus, Lactobacillus sp. UMNPBX3,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,90370,67,Bacteria, Pseudomonadota, Enterobacterales, Gammaproteobacteria, Enterobacteriaceae, Salmonella, Salmonella enterica,Negative,Yard B
ApisM_MM__10_26_2021_barcode01,1445512,217,Bacteria, Pseudomonadota, Orbales, Gammaproteobacteria, Orbaceae, Gilliamella, Gilliamella apis,Negative,Yard B
